File ID,Code,Kbook ID,Barry,Mislabeled,comma,Library,Path,Filename,Artist,Song
5630,SC3015-05,1,0,0,0,Sound Choice,SC3000/3000/SC3015,SC3015-05 - Cupid - 112,112,Cupid
8788,SC3277-02,2,0,0,0,Sound Choice,SC3000/3250/SC3277,SC3277 - 02 - DanCe With Me - 112,112,Dance With Me
8219,SC3238-07,3,0,0,0,Sound Choice,SC3000/3200/SC3238,SC3238-07 - 112 - It's Over Now,112,It's Over Now
16021,SC8672-15,4,0,0,0,Sound Choice,SC8000/8650/SC8672,SC8672-15 - 112 - It's Over Now,112,It's Over Now
8531,SC3258-02,5,0,0,0,Sound Choice,SC3000/3250/SC3258,SC3258-02 - Peaches & Cream - 112,112,Peaches & Cream
11160,SC3442-02,6,0,0,0,Sound Choice,SC3000/3400/SC3442,SC3442 - 02 - You Already Know - 112,112,You Already Know
5504,SC3007-07,7,0,0,0,Sound Choice,SC3000/3000/SC3007,SC3007-07 - 311 - All Mixed Up,311,All Mixed Up
13044,SC8005-13,8,0,0,0,Sound Choice,SC8000/8000/SC8005,SC8005-13 - 311 - All Mixed Up,311,All Mixed Up
11237,SC3450-08,9,0,0,0,Sound Choice,SC3000/3400/SC3450,Sc3450-08 - 311 - Don't Tread On Me,311,Don't Tread On Me
10833,SC3415-06,10,0,0,0,Sound Choice,SC3000/3400/SC3415,SC3415-06 - 311 - First Straw,311,First Straw
10751,SC3410-05,11,0,0,0,Sound Choice,SC3000/3400/SC3410,SC3410-05 - 311 - Love Song,311,Love Song
17701,SC8878-03,12,0,0,0,Sound Choice,SC8000/8850/Sc8878,LOVE SONG - 311 - SC8878-03,311,Love Song
8680,SC3267-07,13,0,0,0,Sound Choice,SC3000/3250/SC3267,SC3267-07 - You Wouldn't Believe - 311,311,You Wouldn't Believe
22035,SF221-12,14,0,0,0,Sunfly,SF Hits/200/SF 221,SF221-12 - 411 - Dumb,411,Dumb
22092,SF225-06,15,0,0,0,Sunfly,SF Hits/200/SF 225,SF225-06 - 411 - TEARDROPS,411,Teardrops
2817,SC2118-02,16,0,0,0,Sound Choice,SC2000/2100/SC2118 90'S Female Hits Vol.12,GET IT TOGETHER - 702 - SC2118-02,702,Get It Together
14579,SC8325-11,17,0,0,0,Sound Choice,SC8000/8300/SC8325,SC8325 - 11 - Steelo - 702,702,Steelo
7194,SC3143-07,18,0,0,0,Sound Choice,SC3000/3100/SC3143,SC3143-07 - 702 - Where My Girls At,702,Where My Girls At
13195,SC8025-08,19,0,0,0,Sound Choice,SC8000/8000/SC8025,SC8025-08 - 702 - Where My Girls At,702,Where My Girls At
13355,SC8035-08,20,0,0,0,Sound Choice,SC8000/8000/SC8035,SC8035-08 - 702 - Where My Girls At,702,Where My Girls At
20466,SF121-07,21,0,0,0,Sunfly,SF Hits/100/SF 121,SF-121 - 07 911  ALL I WANT IS YOU,911,All I Want Is You
20494,SF123-01,22,0,0,0,Sunfly,SF Hits/100/SF 123,SF-123 - 01 911  HOW DO YOU WANT ME TO LOVE YOU,911,How Do You Want Me To Love You
20605,SF130-04,23,0,0,0,Sunfly,SF Hits/100/SF 130,SF130-04 - LITTLE BIT MORE - 911,911,Little Bit More
20567,SF127-08,24,0,0,0,Sunfly,SF Hits/100/SF 127,SF127-08 - MORE THAN A WOMAN - 911,911,More Than A Woman
20418,SF118-09,25,0,0,0,Sunfly,SF Hits/100/SF 118,09 - 911 - Party People (Friday Night),911,Party People (Friday Night)
20717,SF138-06,26,0,0,0,Sunfly,SF Hits/100/SF 138,SF-138 - 06 911  Private Number,911,Private Number
23751,SF326-13,27,0,0,0,Sunfly,SF Hits/300/SF326 Sunfly Hits Karaoke April (2013),SF326-13 - 1975 - Chocol -,1975,Chocol -
23809,SF329-16,28,0,0,0,Sunfly,SF Hits/300/SF329 Sunfly Hits Karaoke SF329 July 2013,SF329-16 - 1975 - City,1975,City
24021,SF341-12,29,0,0,0,Sunfly,SF Hits/300/SF341 - Sunfly Hits July 2014 - KaraokeRG,SF341-12 - 1975 - Robbers,1975,Robbers
7964,SC3220-03,30,0,0,0,Sound Choice,SC3000/3200/SC3220,SC3220-03 - (Hed) Planet Earth - Bartender,(Hed) Planet Earth,Bartender
11393,SC3460-03,31,0,0,0,Sound Choice,SC3000/3450/SC3460,SC3460-03 - 10 Years - Wasteland,10 Years,Wasteland
13928,SC8098-02,32,0,0,0,Sound Choice,SC8000/8050/SC8098,SC8098-02 - 10 Years After - I'd Love To Change The World,10 Years After,I'd Love To Change The World
5838,SC3033-02,33,0,0,1,Sound Choice,SC3000/3000/SC3033,"SC3033-02 - More Than This - 10,000 Maniacs","10,000 Maniacs",More Than This
14050,SC8113-05,34,0,0,0,Sound Choice,SC8000/8100/Sc8113,BECAUSE THE NIGHT - 10000 MANIACS - SC8113-05,10000 Maniacs,Because The Night
19975,SF090-15,35,0,0,0,Sunfly,SF Hits/050/SF 090,SF090-15 10CC - Donna,10cc,Donna
19011,SF023-12,36,0,0,0,Sunfly,SF Hits/000/SF 023,sf023-12 - 10cc - dreadlock holiday,10cc,Dreadlock Holiday
19800,SF079-03,37,0,0,0,Sunfly,SF Hits/050/SF 079,SF079-03 - I'M MANDY - 10CC,10cc,I'm Mandy
18673,SF001-09,38,0,0,0,Sunfly,SF Hits/000/SF 001,sf001-09 - 10cc - i'm not in love,10cc,I'm Not In Love
24404,SFD7016-05,39,0,0,0,Sunfly,SFD Decades/SFD7016,SFD7016-05 - 10cc - I'm Not In Love,10cc,I'm Not In Love
19678,SF071-01,40,0,0,0,Sunfly,SF Hits/050/SF 071,SF071-01 - 10cc - Rubber Bullets,10cc,Rubber Bullets
27449,SFMW832-11,41,0,0,0,Sunfly,SFMW Most Wanted/800/SFMW832,11 THE THINGS WE DO FOR LOVE-10CC,10cc,The Things We Do For Love
27157,SFMW814-01,42,0,0,0,Sunfly,SFMW Most Wanted/800/SFMW814,01 WALL STREET SHUFFLE-10CC,10cc,Wall Street Shuffle
17880,SC8892-04,43,0,0,0,Sound Choice,SC8000/8850/Sc8892,DUNKIE BUTT - 12 GAUGE - SC8892-04,12 Gauge,Dunkie Butt
19084,SF028-10,44,0,0,0,Sunfly,SF Hits/000/SF 028,sf028-10 - 1910 fruitgum co. - simon says,1910 Fruitgum Co.,Simon Says
25330,SFG047-10,45,0,0,0,Sunfly,SFGD Gold/000/SFGD047 - Party Hits,SFG047-10 - 1910 Fruitgum Co. - Simon Says,1910 Fruitgum Co.,Simon Says
20359,SF114-10,46,0,0,0,Sunfly,SF Hits/100/SF 114,SF-114 - 10 2 Evisa  Oh La La La,2 Evisa,Oh La La La
19393,SF049-04,47,0,0,0,Sunfly,SF Hits/000/SF 049,SF049-04 - 2 Pac - California Love,2 Pac,California Love
17648,SC8875-08,48,0,0,0,Sound Choice,SC8000/8850/Sc8875,CALIFORNIA LOVE (ORIGINAL VERSION) - 2 PAC - SC8875-08,2 Pac,California Love (Original Version)
9751,SC3348-07,49,0,0,0,Sound Choice,SC3000/3300/SC3348,SC3348-07 - 2 Pac - Thugz Mansion,2 Pac,Thugz Mansion
16850,SC8805-01,50,0,0,0,Sound Choice,SC8000/8800/sc8805,THUGZ MANSION (RADIO VERSION) - 2 PAC - SC8805-01,2 Pac,Thugz Mansion (Radio Version)
8563,SC3260-02,51,0,0,0,Sound Choice,SC3000/3250/SC3260,SC3260-02 - 2 Pac - Until The End Of Time,2 Pac,Until The End Of Time
18744,SF006-05,52,0,0,0,Sunfly,SF Hits/000/SF 006,sf006-05 - 2 unlimited - no limits,2 Unlimited,No Limits
